"Date/Time","Lat","Lon"
"4/10/2014 20:08:00",40.7641,-73.9692
"4/10/2014 21:02:00",40.894,-73.8151
"4/10/2014 22:00:00",40.7388,-74.003
"4/10/2014 22:54:00",40.7458,-73.9509
"4/11/2014 0:46:00",40.7459,-73.9759
"4/11/2014 5:02:00",40.7213,-74.0003
"4/11/2014 6:47:00",40.7171,-74.0053
"4/11/2014 7:03:00",40.7444,-73.994
"4/11/2014 7:08:00",40.7905,-73.9797
"4/11/2014 7:17:00",40.7653,-73.9528
"4/11/2014 7:21:00",40.7797,-73.9801
"4/11/2014 7:36:00",40.761,-73.9991
"4/11/2014 8:23:00",40.758,-73.9756
"4/11/2014 8:37:00",40.7388,-73.9935
"4/11/2014 8:47:00",40.6919,-74.1777
"4/11/2014 8:56:00",40.7487,-74.0283
"4/11/2014 9:52:00",40.7717,-73.9593
"4/11/2014 10:42:00",40.7001,-73.9475
"4/11/2014 14:23:00",40.7513,-73.9854
"4/11/2014 15:41:00",40.7243,-74.0021
"4/11/2014 16:38:00",40.7613,-73.9668
"4/11/2014 16:43:00",40.7557,-73.9793
"4/11/2014 17:34:00",40.7605,-73.9717
"4/11/2014 17:41:00",40.7163,-74.0107
"4/11/2014 17:53:00",40.765,-73.9827
"4/11/2014 18:16:00",40.7125,-74.009
"4/11/2014 19:28:00",40.7209,-73.9949
"4/11/2014 20:31:00",40.7529,-73.9818
"4/11/2014 20:52:00",40.7559,-73.9834
"4/11/2014 21:27:00",40.7249,-73.9951
"4/11/2014 21:31:00",40.7118,-73.9499
"4/11/2014 21:31:00",40.733,-73.992
"4/11/2014 21:53:00",40.7512,-74.0272
"4/11/2014 22:12:00",40.7276,-73.9939
"4/11/2014 22:46:00",40.7634,-73.9689
"4/11/2014 23:03:00",40.7452,-73.9985
"4/11/2014 23:24:00",40.7588,-73.9812
"4/12/2014 0:15:00",40.7177,-73.9494
"4/12/2014 0:56:00",40.7171,-74.0452
"4/12/2014 1:11:00",40.7216,-73.9921
"4/12/2014 1:34:00",40.7419,-74.0036
"4/12/2014 2:09:00",40.741,-74.0054
"4/12/2014 5:12:00",40.7902,-73.9731
"4/12/2014 10:06:00",40.7471,-73.7662
"4/12/2014 10:56:00",40.7624,-73.9768
"4/12/2014 12:59:00",40.735,-73.9892
"4/12/2014 13:27:00",40.7734,-73.9619
"4/12/2014 13:35:00",40.7459,-73.9569
"4/12/2014 14:17:00",40.7461,-73.988
"4/12/2014 16:24:00",40.7497,-73.9773
"4/12/2014 16:43:00",40.6913,-73.9596
"4/12/2014 17:56:00",40.7844,-73.9736
"4/12/2014 18:02:00",40.7733,-73.9782
"4/12/2014 18:03:00",40.7541,-73.9692
"4/12/2014 18:22:00",40.777,-73.9498
